EQUIPO,MARCA,MODELO,SN/IMEI 1/IMEI 2,Numero de Telefono,CARACTERISTICAS,ACTIVO/INACTIVO,ASIGNADO A,OBSERVACIONES,HISTORIAL DE EVENTOS
"MacBook Pro,Mac,MacBook Pro 2012,C1MQH8KCDTY3,-,,Activo,Hospital de Curicó ,""Sen instala el equipo el dia 9 de Enero de 2025 se deja operativo y se deja  Tarjeta de red TPLink AX88179A "
AET awcurico
IP 10.68.228.33
-- Puerto 4006
#�NOMBRE?
",Hospital de Curicó – 9 de Enero de 2025 se hace instalacion de equipo en centro medico y se retira Mac Mini el cual se deja en las dependencias de Apsorad 
Servidor Rackeable,Dell,Dell R350 Xeon,N/A,-,2TB HARD DRIVE SATA "
"6GBPS 7.2K 512N 3.5 R550/R250/R750/T550"",Activo,Hospital de Quillota,"" 22 de marzo se instaló el PACS DALCA dentro del Hospital y "
"se probó el envío a través de la red MINSAL resultando exitoso el envío."",22 de marzo se instaló el PACS DALCA dentro del HospitalLas mantenciones y adminmistracion estan a cargo de Dalca"
"PC, Dell , Dell T160,N/A,-,N/A,Activo,""HOSPITAL ERNESTO"
" TORRES GALDAMES"",,"
"Escritorio,Nuc,,,-,,Activo,""HOSPITAL REGIONAL"
" DE TALCA"",,Se instala Nuc Mini en la sala de servidores 1 el día viernes 24 de mayo de 2024"
"Rackeable, Dell ,PowerEdge R250,N/A,-,N/A,Activo,""HOSPITAL "
"CLAUDIO VICUÑA"",,Se instala servidor en hospital el dia 19 de enero de 2026"
,,,,-,,Activo,,,
,,,,-,,Activo,,,
,,,,-,,Activo,,,Se hace mantencion de hardware y formateo el ____
,,,,-,,Activo,,,
,,,,,,Activo,,,
,,,,,,Activo,,,
,,,,,,Activo,,,
,,,,,,Activo,,,
,,,,,,Inactivo,,,
,,,,-,,Inactivo,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,CFR-004  REV. 0
